drug,frequency
阿托伐他汀钙片,1298
阿司匹林肠溶片,991
阿卡波糖,884
二甲双胍,609
碳酸钙片,517
甘精胰岛素,500
硝苯地平控释片,479
氨氯地平片,478
甲钴胺,470
门冬胰岛素,381
瑞巴派特片,374
依帕司他,373
雷贝拉唑,369
美托洛尔缓释片,338
兰索拉唑,307
阿法骨化醇,306
瑞舒伐他汀,296
氯吡格雷,286
银杏叶软胶囊,267
左甲状腺素钠片,253
金水宝,228
达格列净片,226
厄贝沙坦,220
丹参软胶囊,206
康复新液,195
坎地沙坦,192
磷酸西格列汀,178
氢氯吡格雷片,171
胰激肽原酶肠溶片,170
单硝酸异山梨酯,168
沙库巴曲缬沙坦钠片,156
比索洛尔,154
羟苯磺酸钙,154
曲美他嗪,153
辛伐他汀片,146
格列美脲片,139
黄葵胶囊,134
盐酸二甲双胍缓释片,133
螺内酯,132
利拉鲁肽,132
贝前列素钠片,127
复方谷氨酰胺肠溶胶囊,126
地特胰岛素,121
呋塞米,120
赖脯胰岛素,116
奥美沙坦,114
非布司他片,111
泮托拉唑肠溶胶囊,109
海昆肾喜胶囊,108
格列喹酮,108
维生素D2软胶囊,105
氯化钾缓释片,104
阿格列汀,100
吡格列酮,100
阿罗洛尔,99
替米沙坦,98
左旋氨氯地平,97
血脂康胶囊,94
普拉洛芬滴眼液,90
乳果糖,87
利伐沙班,85
双歧杆菌活菌肠溶胶囊,85
奥拉西坦胶囊,84
妥布霉素地塞米松滴眼液,84
阿普唑仑,82
奥美拉唑,80
丁苯酞软胶囊,78
维生素B1片,77
复方a-酮酸片,75
胞磷胆碱钠胶囊,74
德谷门冬双胰岛素,70
泼尼松片,70
匹伐他汀,69
百令胶囊,68
普伐他汀,67
津力达颗粒,67
生血宝合剂,66
重组人表皮生长因子滴眼液,64
利格列汀片,64
叶酸片,64
氟哌噻吨美利曲辛片,62
双环醇片,61
灯盏生脉胶囊,61
非诺贝特,60
坦索罗辛缓释胶囊,60
复方托吡卡胺滴眼液,59
脂必泰胶囊,59
厄多司坦胶囊,59
谷赖胰岛素,57
莫沙必利分散片,57
瑞格列奈,57
多烯磷脂酰胆碱胶囊,56
培哚普利叔丁胺片,56
强力定眩片,54
乌灵胶囊,54
孟鲁司特钠片,53
西洛他唑,51
替格瑞洛片,50
氨基葡萄糖胶囊,50
卡格列净片,50
尼可地尔片,49
碳酸氢钠片,49
地衣芽孢杆菌活菌胶囊,49
左氧氟沙星,48
艾地苯醌片,48
氨溴索片,47
硒酵母片,47
多糖铁复合物胶囊,46
恩格列净片,44
丽珠维三联,44
甘草酸二铵肠溶胶囊,42
贝尼地平片,42
地高辛片,41
华法林,40
复方甲氧那明胶囊,40
蓝芩口服液,40
血栓心脉宁片,39
磷酸铝凝胶,39
盐酸曲美他嗪缓释片,39
舒肝解郁胶囊,37
骨化三醇胶丸,37
布地奈德福莫特罗粉吸入剂,37
甲巯咪唑,36
维生素B6片,35
氟桂利嗪胶囊,34
依折麦布片,34
伏格列波糖片,32
曲美布汀,32
塞来昔布,31
天麦消渴片,31
热淋清颗粒,29
聚乙二醇洛塞那肽,29
培哚普利吲达帕胺片,29
贝那普利,29
羟氯喹,29
参松养心胶囊,29
克拉霉素,28
胺碘酮片,28
十一味参芪胶囊,27
枸橼酸铋钾片,27
稳心颗粒,27
伊托必利,25
格列齐特缓释片,24
甲泼尼龙片,24
玻璃酸钠滴眼液,24
平消片,24
七叶洋地黄双苷滴眼液,24
吲哚布芬,23
戈舍瑞林,23
替吉奥,23
非洛地平缓释片,23
养心氏片,23
复方甘草酸苷片,22
非那雄胺,22
恩替卡韦,22
复方丹参滴丸,21
地榆升白片,21
苯溴马隆,21
熊去氧胆酸胶囊,21
多索茶碱片,21
洛索洛芬,20
门冬氨酸钾镁片,20
噻托溴铵粉吸入剂,20
普萘洛尔,20
铁剂,20
养血清脑颗粒,20
地尔硫卓缓释胶囊,19
氟他按,19
多潘立酮片,18
卤米松乳膏,18
扎冲十三味丸,18
苏黄止咳胶囊,17
白芍总苷,17
艾司奥美拉唑,17
度拉糖肽,17
氢氯噻嗪,17
加替沙星眼用凝胶,16
硝酸甘油,16
水飞蓟宾胶囊,16
长春胺缓释胶囊,16
替硝唑片,16
头孢克洛,15
吲达帕胺缓释片,15
心血宁片,15
祖师麻膏药,15
艾塞那肽,15
氯沙坦钾片,15
维生素C,15
依诺肝素,14
度洛西汀肠溶胶囊,14
泛昔洛韦胶囊,14
法莫替丁,14
他莫昔芬,14
阿昔洛韦,13
艾瑞昔布片,13
坦洛新缓释胶囊,13
奥洛他定片,13
甲硝唑,13
蛇胆陈皮口服液,13
米格列醇片,12
匹多莫德口服液,12
连花清瘟胶囊,12
碳酸司维拉姆片,12
多沙唑嗪缓释片,12
达比加群脂胶囊,12
盐酸伊伐布雷定片,12
芪苈强心胶囊,12
来氟米特,12
麻仁软胶囊,11
单硝酸异酸梨酯缓释胶囊,11
钙尔奇D,11
整肠生,11
卡替洛尔滴眼液,11
新癀片,11
依巴斯汀片,11
促红细胞生成素,11
沙美特罗替卡松粉吸入剂,10
枯草杆菌二联活菌肠溶胶囊,10
甲氧那明,10
都梁软胶囊,10
匹维溴铵片,10
布洛芬缓释胶囊,10
卡培他滨,10
马栗种子提取物片,10
赛庚啶片,9
普罗帕酮,9
致康胶囊,9
优泌林,9
托吡卡胺滴眼液,9
美洛昔康,9
丙戊酸钠缓释片,9
维生素E,9
消化酶胶囊,9
氟芬那酸丁酯软膏,9
复方新诺明,9
氯雷他定片,9
诺和灵30R,9
普济痔疮栓,9
酮替芬,9
活心丸,9
鼻朗,9
秋水仙碱,8
氯硝西泮片,8
更昔洛韦眼用凝胶,8
人表皮生长因子滴眼液,8
沙格列汀,8
槐耳颗粒,8
利司那肽注射液,8
铝碳酸镁片,8
阿仑膦酸钠片,8
吗替麦考酚酯,8
唑吡坦片,8
沙格雷酯片,7
冠心丹参滴丸,7
消痛贴膏,7
泊沙康唑口服混悬液,7
右佐匹克隆,7
普瑞巴林胶囊,7
尼莫地平片,7
多巴丝肼片,7
云南白药,7
乙哌立松片,7
地芬尼多片,7
依托考昔,7
参芪胶囊,7
莫西沙星,7
氨酚羟考酮,7
舍曲林片,7
地奥心血康胶囊,7
通心络胶囊,7
枸橼酸莫沙必利片,7
阿莫西林,7
酒石酸溴莫尼定滴眼液,6
龙血竭片,6
